312,24,206,868,464,597,486,188,733,32,766,294,25,32,903,292,604,546,752,177
324,25,214,903,482,621,506,196,762,33,797,305,26,33,939,304,628,568,782,184
279,22,184,775,414,533,435,168,655,28,685,262,22,29,806,261,540,488,672,158
329,25,217,914,488,629,512,198,772,33,807,309,26,34,951,308,637,575,792,186
141,11,93,393,210,271,221,85,332,14,347,133,11,15,409,132,274,247,341,80
337,26,222,937,501,644,525,203,792,34,828,317,27,35,975,316,653,590,813,191
320,25,211,891,476,613,499,193,753,32,787,301,26,33,927,300,620,560,772,181
92,7,60,255,136,175,143,55,215,9,225,86,7,9,265,86,177,160,221,52
391,30,258,1088,581,748,610,236,919,40,961,368,31,40,1131,366,757,684,943,221
196,15,129,544,291,374,305,118,459,20,480,184,16,20,566,183,379,342,471,111
150,12,99,417,223,286,234,90,352,15,368,141,12,15,433,140,290,262,361,85
341,26,225,949,507,652,532,206,802,34,838,321,27,35,987,319,661,597,823,193
54,4,36,150,80,103,84,33,127,5,133,51,4,6,156,51,105,95,130,31
279,22,184,775,414,533,435,168,655,28,685,262,22,29,806,261,540,488,672,158
12,1,8,35,19,24,19,8,29,1,31,12,1,1,36,12,24,22,30,7
125,10,82,347,185,239,195,75,293,13,307,117,10,13,361,117,242,218,301,71
125,10,82,347,185,239,195,75,293,13,307,117,10,13,361,117,242,218,301,71
329,25,217,914,488,629,512,198,772,33,807,309,26,34,951,308,637,575,792,186
196,15,129,544,291,374,305,118,459,20,480,184,16,20,566,183,379,342,471,111
33,3,22,93,49,64,52,20,78,3,82,31,3,3,96,31,64,58,80,19
